INFO:root:[{'id': 0, 'score': 0.99998975, 'class': 2, 'label': 'plastic', 'bbox': [0.100955784, 0.27778953, 0.99407107, 0.6779599], 'time': '2018-02-20T10:38:08:646698'}]
INFO:root:[{'id': 0, 'score': 0.9999857, 'class': 2, 'label': 'plastic', 'bbox': [0.09092072, 0.27728516, 0.9905225, 0.6839086], 'time': '2018-02-20T10:38:08:772474'}]
INFO:root:[{'id': 0, 'score': 0.9999883, 'class': 2, 'label': 'plastic', 'bbox': [0.09319541, 0.28682035, 0.9946339, 0.6833272], 'time': '2018-02-20T10:38:08:904637'}]
INFO:root:[{'id': 0, 'score': 0.9999813, 'class': 2, 'label': 'plastic', 'bbox': [0.11749503, 0.30676022, 0.9586148, 0.6643903], 'time': '2018-02-20T10:38:09:036252'}]
INFO:root:[{'id': 0, 'score': 0.9241795, 'class': 2, 'label': 'plastic', 'bbox': [0.0, 0.30799037, 0.980767, 0.7358543], 'time': '2018-02-20T10:38:09:170078'}]
INFO:root:[{'id': 0, 'score': 0.9503909, 'class': 1, 'label': 'metal', 'bbox': [0.41621965, 0.31823295, 1.0, 0.66877556], 'time': '2018-02-20T10:38:10:518244'}]
INFO:root:[{'id': 0, 'score': 0.982842, 'class': 1, 'label': 'metal', 'bbox': [0.48186696, 0.28310028, 0.9754298, 0.652745], 'time': '2018-02-20T10:38:10:994908'}]
INFO:root:[{'id': 0, 'score': 0.9117868, 'class': 1, 'label': 'metal', 'bbox': [0.49633265, 0.28304717, 0.98460186, 0.6455127], 'time': '2018-02-20T10:38:11:116735'}]
INFO:root:[{'id': 0, 'score': 0.9338869, 'class': 1, 'label': 'metal', 'bbox': [0.49546123, 0.28117457, 0.9720967, 0.6437607], 'time': '2018-02-20T10:38:11:239097'}]
INFO:root:[{'id': 0, 'score': 0.9970036, 'class': 1, 'label': 'metal', 'bbox': [0.49576283, 0.278391, 0.97188437, 0.6490673], 'time': '2018-02-20T10:38:11:362992'}]
INFO:root:[{'id': 0, 'score': 0.97734994, 'class': 1, 'label': 'metal', 'bbox': [0.5109578, 0.2635216, 0.95955545, 0.68987834], 'time': '2018-02-20T10:38:11:487200'}]
INFO:root:[{'id': 0, 'score': 0.99997854, 'class': 2, 'label': 'plastic', 'bbox': [0.015804917, 0.4674122, 0.79962313, 0.66585267], 'time': '2018-02-20T10:43:19:904722'}, {'id': 1, 'score': 0.870722, 'class': 2, 'label': 'plastic', 'bbox': [0.010142654, 0.3987866, 0.91940856, 0.6963907], 'time': '2018-02-20T10:43:19:904722'}]
INFO:root:[{'id': 0, 'score': 0.9999999, 'class': 2, 'label': 'plastic', 'bbox': [0.013800949, 0.42556107, 0.804327, 0.6495824], 'time': '2018-02-20T10:43:20:014423'}]
INFO:root:[{'id': 0, 'score': 0.99938345, 'class': 2, 'label': 'plastic', 'bbox': [0.016679138, 0.4070241, 0.76182055, 0.6166486], 'time': '2018-02-20T10:43:20:122452'}]
INFO:root:[{'id': 0, 'score': 0.9998925, 'class': 2, 'label': 'plastic', 'bbox': [0.00288862, 0.40707463, 0.751314, 0.6124198], 'time': '2018-02-20T10:43:20:227776'}]
INFO:root:[{'id': 0, 'score': 0.99999547, 'class': 2, 'label': 'plastic', 'bbox': [0.0, 0.41023856, 0.72957635, 0.61566955], 'time': '2018-02-20T10:43:20:335201'}]
INFO:root:[{'id': 0, 'score': 0.9999993, 'class': 2, 'label': 'plastic', 'bbox': [0.0, 0.41237888, 0.7795828, 0.6197787], 'time': '2018-02-20T10:43:20:443271'}]
INFO:root:[{'id': 0, 'score': 0.9999746, 'class': 2, 'label': 'plastic', 'bbox': [0.0, 0.40843397, 0.7696591, 0.61582464], 'time': '2018-02-20T10:43:20:549734'}]
INFO:root:[{'id': 0, 'score': 0.99998844, 'class': 2, 'label': 'plastic', 'bbox': [0.0037018657, 0.40543753, 0.7483164, 0.6149693], 'time': '2018-02-20T10:43:20:653817'}]
INFO:root:[{'id': 0, 'score': 0.9963199, 'class': 2, 'label': 'plastic', 'bbox': [0.007049173, 0.3895285, 0.9262662, 0.63944674], 'time': '2018-02-20T10:43:20:754293'}]
INFO:root:[{'id': 0, 'score': 0.99959844, 'class': 2, 'label': 'plastic', 'bbox': [0.043913066, 0.36095706, 0.8944239, 0.6058656], 'time': '2018-02-20T10:43:20:868289'}, {'id': 1, 'score': 0.8762816, 'class': 2, 'label': 'plastic', 'bbox': [0.51073575, 0.21648994, 0.9840282, 0.6167582], 'time': '2018-02-20T10:43:20:868289'}]
INFO:root:[{'id': 0, 'score': 0.99984944, 'class': 2, 'label': 'plastic', 'bbox': [0.12377432, 0.35915413, 0.9395009, 0.52367777], 'time': '2018-02-20T10:43:20:982258'}, {'id': 1, 'score': 0.8970927, 'class': 2, 'label': 'plastic', 'bbox': [0.5015312, 0.26690602, 0.9958561, 0.5395689], 'time': '2018-02-20T10:43:20:982258'}]
INFO:root:[{'id': 0, 'score': 0.99972755, 'class': 2, 'label': 'plastic', 'bbox': [0.0, 0.5464842, 0.848435, 0.83633286], 'time': '2018-02-20T10:43:22:305478'}]
INFO:root:[{'id': 0, 'score': 0.99998057, 'class': 2, 'label': 'plastic', 'bbox': [0.042209446, 0.5483695, 0.96013814, 0.83890855], 'time': '2018-02-20T10:43:22:412802'}]
INFO:root:[{'id': 0, 'score': 0.9996973, 'class': 2, 'label': 'plastic', 'bbox': [0.011627972, 0.54917675, 0.89249796, 0.81797177], 'time': '2018-02-20T10:43:22:514618'}]
INFO:root:[{'id': 0, 'score': 0.9999236, 'class': 2, 'label': 'plastic', 'bbox': [0.01996693, 0.51773053, 0.95705724, 0.8245041], 'time': '2018-02-20T10:43:22:619289'}]
INFO:root:[{'id': 0, 'score': 0.9999051, 'class': 2, 'label': 'plastic', 'bbox': [0.0, 0.518528, 0.8639827, 0.73308456], 'time': '2018-02-20T10:43:22:928976'}]
INFO:root:[{'id': 0, 'score': 0.99967015, 'class': 2, 'label': 'plastic', 'bbox': [0.0, 0.50283515, 0.83529294, 0.7310661], 'time': '2018-02-20T10:43:23:034037'}]
INFO:root:[{'id': 0, 'score': 0.99979144, 'class': 2, 'label': 'plastic', 'bbox': [0.0020410717, 0.46639094, 0.8483552, 0.7122223], 'time': '2018-02-20T10:43:23:337127'}]
INFO:root:[{'id': 0, 'score': 0.9999988, 'class': 2, 'label': 'plastic', 'bbox': [0.009098738, 0.44976115, 0.8161408, 0.7007321], 'time': '2018-02-20T10:43:23:442708'}]
